Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2001,Mercury,Mountaineer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,1850
2001,Ford,F150 Dual-fuel 2WD (LPG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,15,13,18,2500
2001,Ford,F150 Dual-fuel 4WD (LPG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,15,13,18,2500
2001,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,20,17,24,2500
2001,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,20,17,24,1450
2001,Chevrolet,Suburban 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2350
2001,Chevrolet,Tahoe 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,17,2500
2002,GMC,Yukon 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,17,3500
2002,GMC,Yukon XL 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2500
2002,Ford,Explorer 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2500
2002,Mercury,Mountaineer 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2500
2002,Ford,Explorer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2350
2002,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2500
2002,Mazda,B3000 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2500
2002,Mercury,Mountaineer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,1650
2002,Chevrolet,Silverado 1500 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,18,1650
2002,GMC,Sierra 1500 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,18,1750
2002,Chevrolet,Avalanche 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,1850
2002,Chrysler,Sebring Convertible,Compact Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,1750
2002,Chrysler,Sebring 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,1650
2002,Dodge,Stratus 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,2200
2002,Chevrolet,Cavalier Dual-fuel,Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,24,21,30,2200
2002,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,19,16,23,2700
